N.rep,N.col,expr,time
0,9,nc::capture_melt_multiple,17792663
0,9,nc::capture_melt_multiple,8380642
0,9,nc::capture_melt_multiple,7414705
0,9,nc::capture_melt_multiple,7468922
0,9,nc::capture_melt_multiple,8156081
0,9,nc::capture_melt_multiple,7510305
0,9,nc::capture_melt_multiple,7944671
0,9,nc::capture_melt_multiple,7276119
0,9,nc::capture_melt_multiple,7502606
0,9,nc::capture_melt_multiple,7172821
0,9,tidyr::pivot_longer,20162108
0,9,tidyr::pivot_longer,3785469
0,9,tidyr::pivot_longer,4228497
0,9,tidyr::pivot_longer,4187113
0,9,tidyr::pivot_longer,4272767
0,9,tidyr::pivot_longer,4254161
0,9,tidyr::pivot_longer,4170432
0,9,tidyr::pivot_longer,6520629
0,9,tidyr::pivot_longer,3387353
0,9,tidyr::pivot_longer,3324155
0,9,data.table::melt,633906
0,9,data.table::melt,452011
0,9,data.table::melt,446237
0,9,data.table::melt,439180
0,9,data.table::melt,445595
0,9,data.table::melt,439820
0,9,data.table::melt,445275
0,9,data.table::melt,439500
0,9,data.table::melt,438858
0,9,data.table::melt,436934
0,9,stats::reshape,2181136
0,9,stats::reshape,83119252
0,9,stats::reshape,1278719
0,9,stats::reshape,1190498
0,9,stats::reshape,1300213
0,9,stats::reshape,1182799
0,9,stats::reshape,1195952
0,9,stats::reshape,1186648
0,9,stats::reshape,1180875
0,9,stats::reshape,1178950
0,9,cdata::rowrecs_to_blocks,18191420
0,9,cdata::rowrecs_to_blocks,9993957
0,9,cdata::rowrecs_to_blocks,9893225
0,9,cdata::rowrecs_to_blocks,9696894
0,9,cdata::rowrecs_to_blocks,10605727
0,9,cdata::rowrecs_to_blocks,10527772
0,9,cdata::rowrecs_to_blocks,12801619
0,9,cdata::rowrecs_to_blocks,9840292
0,9,cdata::rowrecs_to_blocks,10520714
0,9,cdata::rowrecs_to_blocks,10159170
1,9,nc::capture_melt_multiple,8407268
1,9,nc::capture_melt_multiple,7029743
1,9,nc::capture_melt_multiple,7478866
1,9,nc::capture_melt_multiple,7173141
1,9,nc::capture_melt_multiple,7164480
1,9,nc::capture_melt_multiple,7433954
1,9,nc::capture_melt_multiple,7040329
1,9,nc::capture_melt_multiple,7050274
1,9,nc::capture_melt_multiple,7111227
1,9,nc::capture_melt_multiple,7179878
1,9,tidyr::pivot_longer,3767504
1,9,tidyr::pivot_longer,3502521
1,9,tidyr::pivot_longer,3440286
1,9,tidyr::pivot_longer,3438681
1,9,tidyr::pivot_longer,3408846
1,9,tidyr::pivot_longer,3408847
1,9,tidyr::pivot_longer,5286823
1,9,tidyr::pivot_longer,3499313
1,9,tidyr::pivot_longer,3353990
1,9,tidyr::pivot_longer,3296887
1,9,data.table::melt,509756
1,9,data.table::melt,450407
1,9,data.table::melt,434046
1,9,data.table::melt,435651
1,9,data.table::melt,433725
1,9,data.table::melt,434688
1,9,data.table::melt,438858
1,9,data.table::melt,436934
1,9,data.table::melt,429876
1,9,data.table::melt,433405
1,9,stats::reshape,1311762
1,9,stats::reshape,1198197
1,9,stats::reshape,1174458
1,9,stats::reshape,1170930
1,9,stats::reshape,1174458
1,9,stats::reshape,1167722
1,9,stats::reshape,1167080
1,9,stats::reshape,1173817
1,9,stats::reshape,1165475
1,9,stats::reshape,1162268
1,9,cdata::rowrecs_to_blocks,10208253
1,9,cdata::rowrecs_to_blocks,10309626
1,9,cdata::rowrecs_to_blocks,10937757
1,9,cdata::rowrecs_to_blocks,12703453
1,9,cdata::rowrecs_to_blocks,10089877
1,9,cdata::rowrecs_to_blocks,10878088
1,9,cdata::rowrecs_to_blocks,10486709
1,9,cdata::rowrecs_to_blocks,10174568
1,9,cdata::rowrecs_to_blocks,9909907
1,9,cdata::rowrecs_to_blocks,10644544
3,17,nc::capture_melt_multiple,8487148
3,17,nc::capture_melt_multiple,7370756
