capture groups,type conversions,N.rep,N.col,expr,time
3,0,0,9,nc::capture_melt_multiple,17567459
3,0,0,9,nc::capture_melt_multiple,7885323
3,0,0,9,nc::capture_melt_multiple,7464109
3,0,0,9,nc::capture_melt_multiple,7440370
3,0,0,9,nc::capture_melt_multiple,7533724
3,0,0,9,nc::capture_melt_multiple,7289914
3,0,0,9,nc::capture_melt_multiple,7432030
3,0,0,9,nc::capture_melt_multiple,7425292
3,0,0,9,nc::capture_melt_multiple,7479508
3,0,0,9,nc::capture_melt_multiple,7335468
3,0,0,9,tidyr::pivot_longer,12392917
3,0,0,9,tidyr::pivot_longer,3248445
3,0,0,9,tidyr::pivot_longer,6276500
3,0,0,9,tidyr::pivot_longer,2819533
3,0,0,9,tidyr::pivot_longer,2804776
3,0,0,9,tidyr::pivot_longer,3085157
3,0,0,9,tidyr::pivot_longer,2858991
3,0,0,9,tidyr::pivot_longer,2790981
3,0,0,9,tidyr::pivot_longer,2764034
3,0,0,9,tidyr::pivot_longer,2857066
3,0,0,9,data.table::melt,714427
3,0,0,9,data.table::melt,472543
3,0,0,9,data.table::melt,435009
3,0,0,9,data.table::melt,436934
3,0,0,9,data.table::melt,433084
3,0,0,9,data.table::melt,447840
3,0,0,9,data.table::melt,431801
3,0,0,9,data.table::melt,459390
3,0,0,9,data.table::melt,432443
3,0,0,9,data.table::melt,430517
3,0,0,9,stats::reshape,2163492
3,0,0,9,stats::reshape,87387848
3,0,0,9,stats::reshape,1300855
3,0,0,9,stats::reshape,1297647
3,0,0,9,stats::reshape,1230598
3,0,0,9,stats::reshape,1187611
3,0,0,9,stats::reshape,1182799
3,0,0,9,stats::reshape,1167401
3,0,0,9,stats::reshape,1168043
3,0,0,9,stats::reshape,1181516
3,0,0,9,cdata::rowrecs_to_blocks,16606977
3,0,0,9,cdata::rowrecs_to_blocks,10257015
3,0,0,9,cdata::rowrecs_to_blocks,12564867
3,0,0,9,cdata::rowrecs_to_blocks,10266960
3,0,0,9,cdata::rowrecs_to_blocks,10018659
3,0,0,9,cdata::rowrecs_to_blocks,10393355
3,0,0,9,cdata::rowrecs_to_blocks,10250599
3,0,0,9,cdata::rowrecs_to_blocks,12052867
3,0,0,9,cdata::rowrecs_to_blocks,10126769
3,0,0,9,cdata::rowrecs_to_blocks,10349726
3,0,1,9,nc::capture_melt_multiple,8417855
3,0,1,9,nc::capture_melt_multiple,7485603
3,0,1,9,nc::capture_melt_multiple,7330014
3,0,1,9,nc::capture_melt_multiple,7351508
3,0,1,9,nc::capture_melt_multiple,7419838
3,0,1,9,nc::capture_melt_multiple,7269382
3,0,1,9,nc::capture_melt_multiple,7930877
3,0,1,9,nc::capture_melt_multiple,7462826
3,0,1,9,nc::capture_melt_multiple,7411498
3,0,1,9,nc::capture_melt_multiple,7297613
3,0,1,9,tidyr::pivot_longer,3456005
3,0,1,9,tidyr::pivot_longer,2954269
3,0,1,9,tidyr::pivot_longer,2839102
3,0,1,9,tidyr::pivot_longer,3000144
3,0,1,9,tidyr::pivot_longer,3564436
3,0,1,9,tidyr::pivot_longer,3508937
3,0,1,9,tidyr::pivot_longer,3382541
3,0,1,9,tidyr::pivot_longer,3357519
3,0,1,9,tidyr::pivot_longer,3598762
3,0,1,9,tidyr::pivot_longer,3567003
3,0,1,9,data.table::melt,632303
3,0,1,9,data.table::melt,550819
3,0,1,9,data.table::melt,550497
3,0,1,9,data.table::melt,545365
3,0,1,9,data.table::melt,544402
3,0,1,9,data.table::melt,548894
3,0,1,9,data.table::melt,540553
3,0,1,9,data.table::melt,540553
3,0,1,9,data.table::melt,540873
3,0,1,9,data.table::melt,544082
3,0,1,9,stats::reshape,1566479
3,0,1,9,stats::reshape,1479221
3,0,1,9,stats::reshape,1501356
3,0,1,9,stats::reshape,1428855
3,0,1,9,stats::reshape,1402548
3,0,1,9,stats::reshape,1425647
3,0,1,9,stats::reshape,1410890
3,0,1,9,stats::reshape,1408644
3,0,1,9,stats::reshape,1415701
3,0,1,9,stats::reshape,1405436
3,0,1,9,cdata::rowrecs_to_blocks,13152577
3,0,1,9,cdata::rowrecs_to_blocks,9741164
3,0,1,9,cdata::rowrecs_to_blocks,9765545
3,0,1,9,cdata::rowrecs_to_blocks,9492864
3,0,1,9,cdata::rowrecs_to_blocks,9952573
3,0,1,9,cdata::rowrecs_to_blocks,10164624
3,0,1,9,cdata::rowrecs_to_blocks,9819761
3,0,1,9,cdata::rowrecs_to_blocks,9766829
3,0,1,9,cdata::rowrecs_to_blocks,10056513
3,0,1,9,cdata::rowrecs_to_blocks,12835303
3,0,3,17,nc::capture_melt_multiple,9317063
3,0,3,17,nc::capture_melt_multiple,8007228
3,0,3,17,nc::capture_melt_multiple,7520250
3,0,3,17,nc::capture_melt_multiple,7413102
3,0,3,17,nc::capture_melt_multiple,7443257
3,0,3,17,nc::capture_melt_multiple,7851959
