N.rep,data.type,N.col,expr,time
1,data.table,88,cdata::unpivot_to_blocks-4,76919600
1,data.table,88,utils::stack-4,13636400
1,data.table,88,tidyfast::dt_pivot_longer-4,23241360
1,data.table,88,tidyr::gather-0,15336280
1,data.table,88,tidyfast::dt_pivot_longer-0,754760
1,data.table,88,nc::capture_melt_single-0,16614040
1,data.table,88,nc::capture_melt_single-4,11483880
1,data.table,88,utils::stack-0,3062240
1,data.table,88,utils::stack-4,12812920
1,data.table,88,stats::reshape-0,83946720
1,data.table,88,data.table::melt-0,800120
1,data.table,88,cdata::unpivot_to_blocks-4,33624880
1,data.table,88,reshape2::melt-4,13231800
1,data.table,88,tidyr::gather-4,22774200
1,data.table,88,nc::capture_melt_single-0,11084520
1,data.table,88,data.table::melt-0,569920
1,data.table,88,tidyr::gather-4,15780000
1,data.table,88,reshape2::melt-0,3512680
1,data.table,88,tidyr::gather-0,7021200
1,data.table,88,reshape2::melt-4,12295600
1,data.table,88,cdata::unpivot_to_blocks-4,34880360
1,data.table,88,tidyfast::dt_pivot_longer-0,734880
1,data.table,88,reshape2::melt-0,3549040
1,data.table,88,cdata::unpivot_to_blocks-0,33840000
1,data.table,88,tidyr::gather-4,15835760
1,data.table,88,nc::capture_melt_single-0,11048000
1,data.table,88,nc::capture_melt_single-4,11592920
1,data.table,88,reshape2::melt-4,12687560
1,data.table,88,stats::reshape-4,75606080
1,data.table,88,stats::reshape-4,86045520
1,data.table,88,stats::reshape-4,77304720
1,data.table,88,utils::stack-0,3084120
1,data.table,88,stats::reshape-0,78424520
1,data.table,88,tidyfast::dt_pivot_longer-0,659000
1,data.table,88,tidyfast::dt_pivot_longer-0,546440
1,data.table,88,tidyr::gather-0,7072560
1,data.table,88,tidyfast::dt_pivot_longer-4,9667840
1,data.table,88,nc::capture_melt_single-0,10967720
1,data.table,88,reshape2::melt-4,12368560
1,data.table,88,tidyr::pivot_longer-0,23202200
1,data.table,88,cdata::unpivot_to_blocks-0,25758440
1,data.table,88,tidyfast::dt_pivot_longer-4,9467720
1,data.table,88,reshape2::melt-0,3515480
1,data.table,88,data.table::melt-4,9253240
1,data.table,88,utils::stack-0,3220040
1,data.table,88,nc::capture_melt_single-4,11467080
1,data.table,88,tidyr::pivot_longer-0,10063280
1,data.table,88,data.table::melt-0,592560
1,data.table,88,cdata::unpivot_to_blocks-0,27851120
1,data.table,88,cdata::unpivot_to_blocks-0,36593960
1,data.table,88,stats::reshape-0,67891920
1,data.table,88,utils::stack-4,13112200
1,data.table,88,utils::stack-4,12973960
1,data.table,88,tidyr::pivot_longer-0,10332920
1,data.table,88,data.table::melt-4,9191200
1,data.table,88,tidyr::gather-4,16329160
1,data.table,88,reshape2::melt-4,12722000
1,data.table,88,data.table::melt-0,667320
1,data.table,88,reshape2::melt-4,12424520
1,data.table,88,tidyr::pivot_longer-4,12676320
1,data.table,88,stats::reshape-0,78269720
1,data.table,88,tidyr::gather-0,7076200
1,data.table,88,cdata::unpivot_to_blocks-0,25690680
1,data.table,88,utils::stack-4,12759960
1,data.table,88,reshape2::melt-0,3508800
1,data.table,88,tidyr::pivot_longer-0,10314240
1,data.table,88,tidyr::pivot_longer-0,10144280
1,data.table,88,utils::stack-0,3178280
1,data.table,88,stats::reshape-4,87484960
1,data.table,88,tidyr::pivot_longer-0,10302680
1,data.table,88,tidyfast::dt_pivot_longer-4,9059040
1,data.table,88,utils::stack-0,3168560
1,data.table,88,stats::reshape-0,70635440
1,data.table,88,cdata::unpivot_to_blocks-4,42984720
1,data.table,88,data.table::melt-4,9240080
1,data.table,88,tidyr::pivot_longer-0,10176520
1,data.table,88,stats::reshape-0,68651160
1,data.table,88,tidyr::pivot_longer-0,10263160
1,data.table,88,cdata::unpivot_to_blocks-4,34671240
1,data.table,88,cdata::unpivot_to_blocks-4,43345080
1,data.table,88,tidyr::gather-4,15664560
1,data.table,88,nc::capture_melt_single-4,11619560
1,data.table,88,nc::capture_melt_single-4,11565240
1,data.table,88,tidyr::gather-0,7117640
1,data.table,88,cdata::unpivot_to_blocks-0,25751600
1,data.table,88,reshape2::melt-0,3572880
1,data.table,88,data.table::melt-0,700960
1,data.table,88,utils::stack-0,3361880
1,data.table,88,utils::stack-4,12302200
1,data.table,88,cdata::unpivot_to_blocks-4,34324560
1,data.table,88,tidyfast::dt_pivot_longer-4,9478560
1,data.table,88,tidyr::pivot_longer-4,11080120
1,data.table,88,nc::capture_melt_single-0,40271520
1,data.table,88,reshape2::melt-0,3800360
1,data.table,88,data.table::melt-0,630680
1,data.table,88,stats::reshape-4,78656080
1,data.table,88,cdata::unpivot_to_blocks-4,34677840
1,data.table,88,reshape2::melt-0,3568080
1,data.table,88,cdata::unpivot_to_blocks-4,34520840
1,data.table,88,tidyr::pivot_longer-0,10682960
1,data.table,88,utils::stack-0,12840360
1,data.table,88,tidyr::pivot_longer-4,12405520
1,data.table,88,nc::capture_melt_single-4,11781840
1,data.table,88,data.table::melt-4,9041880
1,data.table,88,data.table::melt-0,510640
1,data.table,88,data.table::melt-0,524960
1,data.table,88,tidyr::pivot_longer-4,10888840
1,data.table,88,cdata::unpivot_to_blocks-0,25204480
1,data.table,88,tidyr::pivot_longer-4,11013280
1,data.table,88,tidyr::gather-4,15863760
1,data.table,88,utils::stack-4,12599560
1,data.table,88,data.table::melt-4,9277800
1,data.table,88,utils::stack-0,3264680
1,data.table,88,nc::capture_melt_single-0,10929520
1,data.table,88,utils::stack-0,3146680
1,data.table,88,reshape2::melt-4,12394920
1,data.table,88,nc::capture_melt_single-4,11877680
1,data.table,88,data.table::melt-0,573280
1,data.table,88,cdata::unpivot_to_blocks-0,25614240
1,data.table,88,tidyfast::dt_pivot_longer-0,728880
1,data.table,88,reshape2::melt-4,21717800
1,data.table,88,stats::reshape-4,76433560
1,data.table,88,stats::reshape-4,77587280
1,data.table,88,tidyr::gather-4,25643240
1,data.table,88,tidyfast::dt_pivot_longer-0,1402080
1,data.table,88,cdata::unpivot_to_blocks-0,26859920
1,data.table,88,data.table::melt-4,9142360
1,data.table,88,tidyfast::dt_pivot_longer-4,8960240
1,data.table,88,reshape2::melt-0,3532480
1,data.table,88,nc::capture_melt_single-4,11722640
1,data.table,88,tidyfast::dt_pivot_longer-4,8977280
1,data.table,88,tidyr::pivot_longer-4,10920040
1,data.table,88,stats::reshape-0,68187600
1,data.table,88,stats::reshape-0,78984520
1,data.table,88,nc::capture_melt_single-0,11152600
1,data.table,88,tidyr::gather-0,7143120
1,data.table,88,reshape2::melt-4,12115960
1,data.table,88,cdata::unpivot_to_blocks-0,24979200
1,data.table,88,utils::stack-4,12389480
1,data.table,88,nc::capture_melt_single-0,11390640
1,data.table,88,tidyfast::dt_pivot_longer-0,727440
1,data.table,88,tidyfast::dt_pivot_longer-4,9646800
1,data.table,88,stats::reshape-4,86647680
1,data.table,88,tidyr::gather-0,7491000
1,data.table,88,nc::capture_melt_single-0,11463320
1,data.table,88,utils::stack-0,3174680
1,data.table,88,stats::reshape-4,76304840
1,data.table,88,tidyr::gather-0,7643000
1,data.table,88,tidyr::pivot_longer-0,11024760
1,data.table,88,tidyfast::dt_pivot_longer-4,9559720
1,data.table,88,tidyfast::dt_pivot_longer-0,12890200
1,data.table,88,tidyr::gather-4,16411480
1,data.table,88,data.table::melt-4,9097280
1,data.table,88,tidyr::gather-4,15785880
1,data.table,88,data.table::melt-4,9130840
1,data.table,88,nc::capture_melt_single-4,11726280
1,data.table,88,tidyr::pivot_longer-4,11907200
1,data.table,88,tidyr::pivot_longer-4,11035560
1,data.table,88,nc::capture_melt_single-4,11712400
1,data.table,88,data.table::melt-4,9152360
1,data.table,88,data.table::melt-4,9209360
1,data.table,88,reshape2::melt-0,3502000
1,data.table,88,cdata::unpivot_to_blocks-4,34480960
1,data.table,88,utils::stack-4,12412600
1,data.table,88,stats::reshape-0,78503640
1,data.table,88,tidyfast::dt_pivot_longer-0,743000
1,data.table,88,tidyr::gather-0,7063040
1,data.table,88,tidyfast::dt_pivot_longer-0,854160
1,data.table,88,tidyr::gather-0,7180720
1,data.table,88,utils::stack-4,12908840
1,data.table,88,stats::reshape-0,69779320
